category,age,population,men,women,ratio_men_women_percentage
00 años,0,1812977,916140,896837,102.1523420643885
01 años,1,1909958,967223,942735,102.59754862182903
02 años,2,2041119,1031816,1009303,102.23054920078509
03 años,3,2108406,1060809,1047597,101.26117199648338
04 años,4,2174905,1101494,1073411,102.61623925970574
05 años,5,2178901,1106361,1072540,103.15335558580566
06 años,6,2095349,1057642,1037707,101.9210624964465
07 años,7,2146294,1087091,1059203,102.63292305629798
08 años,8,2234495,1140496,1093999,104.25018670035347
09 años,9,2109340,1061501,1047839,101.30382625575112
10 años,10,2299267,1174026,1125241,104.33551568064085
11 años,11,2101472,1066706,1034766,103.0866881981047
12 años,12,2249567,1146128,1103439,103.86872314645395
13 años,13,2140641,1082309,1058332,102.265546161318
14 años,14,2152593,1085091,1067502,101.64767841184373
15 años,15,2193794,1113136,1080658,103.00539115983041
16 años,16,2086484,1054448,1032036,102.17162967183316
17 años,17,2212396,1122956,1089440,103.07644294316347
18 años,18,2307675,1172693,1134982,103.32260775941822
19 años,19,2006341,998917,1007424,99.1555690553332
20 años,20,2307835,1146232,1161603,98.67674239822038
21 años,21,1917550,957236,960314,99.67947983680338
22 años,22,2128911,1061846,1067065,99.51090139775928
23 años,23,2034083,1005112,1028971,97.68127575995825
24 años,24,2033716,995458,1038258,95.87771054978627
25 años,25,2179016,1063775,1115241,95.38521270290458
26 años,26,1976471,954163,1022308,93.33420065185834
27 años,27,1954646,955081,999565,95.54966410388519
28 años,28,2044540,1001692,1042848,96.05349964712019
29 años,29,1838328,886693,951635,93.17574490219465
30 años,30,2366318,1148015,1218303,94.23066347205908
31 años,31,1541404,734272,807132,90.97297591967609
32 años,32,1997789,959947,1037842,92.4945222875929
33 años,33,1777080,849187,927893,91.51777198448528
34 años,34,1738236,836305,901931,92.72383364137612
35 años,35,2003176,966246,1036930,93.18333928037572
36 años,36,1828356,870975,957381,90.97475299802274
37 años,37,1600851,767996,832855,92.21244994626916
38 años,38,1942049,941824,1000225,94.16121372691144
39 años,39,1645844,784489,861355,91.07615327013832
40 años,40,2206005,1059322,1146683,92.38141666005339
41 años,41,1315240,624905,690335,90.52199294545402
42 años,42,1925907,928285,997622,93.04977235866892
43 años,43,1618309,768115,850194,90.34585047647948
44 años,44,1438125,681677,756448,90.11551355810313
45 años,45,1895945,919327,976618,94.13373499157296
46 años,46,1509494,718647,790847,90.87054765333876
47 años,47,1507873,725378,782495,92.70065623422514
48 años,48,1591330,763098,828232,92.13577838093674
49 años,49,1437771,685894,751877,91.22422949498389
50 años,50,1865176,890709,974467,91.40473715374661
51 años,51,1100487,519757,580730,89.50062851927746
52 años,52,1490960,711793,779167,91.35307321793658
53 años,53,1281760,606024,675736,89.68354505309766
54 años,54,1299149,603880,695269,86.85559114529772
55 años,55,1315508,621423,694085,89.5312533767478
56 años,56,1235819,591296,644523,91.74164459608113
57 años,57,1013170,476655,536515,88.8428096138971
58 años,58,1113318,524223,589095,88.98785425101214
59 años,59,1018143,479379,538764,88.97754861126579
60 años,60,1333530,627532,705998,88.88580420907708
61 años,61,746362,347068,399294,86.92041453164836
62 años,62,972778,456755,516023,88.51446544049392
63 años,63,919820,431407,488413,88.32832049924961
64 años,64,848572,395100,453472,87.12776092018912
65 años,65,983101,462245,520856,88.7471777228255
66 años,66,679790,316121,363669,86.92547343875887
67 años,67,666851,316743,350108,90.47008351708615
68 años,68,753713,349542,404171,86.48369130887669
69 años,69,561622,262199,299423,87.56808929173778
70 años,70,716246,332464,383782,86.62834630076449
71 años,71,413507,194181,219326,88.53533096851262
72 años,72,580011,272830,307181,88.81734221843148
73 años,73,480424,223788,256636,87.20054863698
74 años,74,457152,210229,246923,85.13949692819219
75 años,75,470115,219479,250636,87.5688249094304
76 años,76,383667,178282,205385,86.80380748350659
77 años,77,317417,148489,168928,87.90076245501042
78 años,78,362898,171128,191770,89.23606403504198
79 años,79,280485,130520,149965,87.03364118294269
80 años,80,349002,156170,192832,80.98759541984732
81 años,81,181704,83368,98336,84.77871786527822
82 años,82,230050,102905,127145,80.93515277832395
83 años,83,210369,92350,118019,78.25011227005821
84 años,84,204239,89019,115220,77.26002430133657
85 años,85,189769,82532,107237,76.96224250958159
86 años,86,150665,65151,85514,76.1875248497322
87 años,87,123753,52994,70759,74.89365310419875
88 años,88,101855,43694,58161,75.1259435016592
89 años,89,93203,38980,54223,71.88831307747635
90 años,90,96259,39510,56749,69.6223722003912
91 años,91,42285,17136,25149,68.13789812716212
92 años,92,50444,20213,30231,66.8618305712679
93 años,93,41753,16679,25074,66.51910345377682
94 años,94,36065,13820,22245,62.126320521465495
95 años,95,29917,11533,18384,62.73389904264578
96 años,96,22704,8984,13720,65.48104956268222
97 años,97,16536,6309,10227,61.689645057201524
98 años,98,15452,5892,9560,61.63179916317991
99 años,99,10596,3897,6699,58.172861621137486
100 años y más,100,18295,6644,11651,57.02514805596086
No especificado,,273386,136194,137192,99.27255233541314
